car,varient,km,fuel,transmission,registration,price,location
2021 Renault TRIBER, RXT,"47,921 km",Petrol,Manual,MH-01,₹3.85 lakh,mumbai
2016 Tata Tiago, XZ DIESEL,"1,01,432 km",Diesel,Manual,DL-1C,₹1.49 lakh,mumbai
2011 Ford Figo, TITANIUM 1.2 PETROL,"1,17,727 km",Petrol,Manual,MH-04,₹1.02 lakh,mumbai
2017 Maruti IGNIS, ALPHA 1.2,"49,208 km",Petrol,Manual,MH-04,₹3.28 lakh,mumbai
2019 Mahindra XUV300, W8 (O) 1.5 DIESEL,"47,149 km",Diesel,Manual,MH-03,₹6.93 lakh,mumbai
2019 Hyundai VENUE, SX 1.0 TURBO,"1,18,693 km",Petrol,Manual,MH-01,₹6.08 lakh,mumbai
2020 Tata Harrier, XE 2.0L KRYOTEC,"25,075 km",Diesel,Manual,MH-05,₹7.60 lakh,mumbai
2016 Maruti Alto K10, LXI CNG,"58,335 km",Petrol,Manual,MH-03,₹1.26 lakh,mumbai
2016 Renault Kwid, RXT 0.8,"26,191 km",Petrol,Manual,MH-01,₹1.54 lakh,mumbai
2016 Hyundai Creta, SX PLUS AT 1.6 PETROL,"56,064 km",Petrol,Auto,MH-48,₹6.07 lakh,mumbai
2018 Maruti Ertiga, VXI SHVS,"1,01,860 km",Petrol,Manual,MH-46,₹6.50 lakh,mumbai
2020 Maruti XL6, ZETA MT,"27,892 km",Petrol,Manual,MH-01,₹7.57 lakh,mumbai
2011 Maruti Alto, LXI,"53,459 km",Petrol,Manual,MH-04,₹1.06 lakh,mumbai
2015 Ford Figo Aspire, TITANIUM PLUS 1.2 PETROL,"51,212 km",Petrol,Manual,MH-43,₹2.18 lakh,mumbai
2012 Maruti Wagon R 1.0, VXI,"54,434 km",Petrol,Manual,MH-03,₹1.60 lakh,mumbai
2016 Maruti Swift, VXI,"55,529 km",Petrol,Manual,MH-01,₹3.10 lakh,mumbai
2012 Maruti Alto K10, VXI,"30,033 km",Petrol,Manual,MH-05,₹1.12 lakh,mumbai
2018 Tata NEXON, XM PETROL,"83,000 km",Petrol,Manual,MH-03,₹3.50 lakh,mumbai
2012 Hyundai Verna, FLUIDIC 1.6 VTVT EX,"1,16,451 km",Petrol,Manual,MH-01,₹2.06 lakh,mumbai
2021 Hyundai NEW I20, ASTA 1.2 AT,"19,568 km",Petrol,Auto,MH-02,₹6.95 lakh,mumbai
2015 Maruti Wagon R 1.0, LXI CNG,"1,37,202 km",Petrol,Manual,MH-46,₹2.25 lakh,mumbai
2013 Maruti Swift Dzire, VXI,"1,01,039 km",Petrol,Manual,GJ-21,₹2.64 lakh,mumbai
2024 KIA CARENS, Premium (O) 1.5 Petrol 7 STR,"14,374 km",Petrol,Manual,WB-02,₹9.93 lakh,mumbai
2012 Maruti Swift Dzire, VXI,"1,35,708 km",Petrol,Manual,MH-02,₹2.20 lakh,mumbai
2015 Hyundai i20 Active, 1.2 S,"55,243 km",Petrol,Manual,MH-04,₹2.80 lakh,mumbai
2020 KIA SONET, HTX 1.5,"1,27,641 km",Diesel,Manual,MH-46,₹7.06 lakh,mumbai
2017 Maruti Ciaz, DELTA 1.4 MT PETROL,"31,416 km",Petrol,Manual,UK-04,₹3.47 lakh,mumbai
2022 Tata PUNCH, ADVENTURE MT,"40,574 km",Petrol,Manual,MH-15,₹4.70 lakh,mumbai
2015 Maruti Wagon R 1.0, LXI CNG,"1,20,476 km",Petrol,Manual,MH-04,₹2.40 lakh,mumbai
2014 Maruti Wagon R 1.0, LXI CNG,"1,92,373 km",Petrol,Manual,MH-04,₹2.33 lakh,mumbai
2012 Hyundai i20, ERA 1.2,"68,870 km",Petrol,Manual,MH-43,₹1.74 lakh,mumbai
2020 Hyundai VENUE, SX PLUS 1.0 TURBO DCT,"26,682 km",Petrol,Auto,MH-48,₹6.60 lakh,mumbai
2016 Hyundai Grand i10, SPORTZ 1.1 CRDI,"65,102 km",Diesel,Manual,MH-05,₹2.36 lakh,mumbai
2014 BMW X1, SDRIVE 20D,"94,549 km",Diesel,Auto,MH-02,₹7.36 lakh,mumbai
2012 Maruti Wagon R 1.0, VXI,"45,980 km",Petrol,Manual,MH-48,₹1.70 lakh,mumbai
2015 Maruti Wagon R 1.0, LXI CNG,"1,00,465 km",Petrol,Manual,MH-02,₹2.57 lakh,mumbai
2013 Maruti Wagon R 1.0, LXI CNG,"1,12,244 km",Petrol,Manual,MH-46,₹1.90 lakh,mumbai
2016 Renault Kwid, RXT 1.0 AMT,"86,663 km",Petrol,Auto,MH-43,₹1.49 lakh,mumbai
2020 Hyundai GRAND I10 NIOS, SPORTZ 1.2 KAPPA VTVT,"47,816 km",Petrol,Manual,MH-15,₹4.00 lakh,mumbai
2015 Maruti Wagon R 1.0, LXI CNG,"91,022 km",Petrol,Manual,MH-02,₹2.80 lakh,mumbai
2013 Maruti Swift Dzire, VXI,"1,08,473 km",Petrol,Manual,MH-02,₹2.64 lakh,mumbai
2015 Maruti Wagon R 1.0, VXI,"81,452 km",Petrol,Manual,GA-06,₹2.59 lakh,mumbai
2013 Maruti Ertiga, ZDI,"1,04,560 km",Diesel,Manual,MH-05,₹4.37 lakh,mumbai
2014 Maruti Wagon R 1.0, VXI,"61,049 km",Petrol,Manual,MH-02,₹2.06 lakh,mumbai
2013 Hyundai Eon, MAGNA +,"89,417 km",Petrol,Manual,MH-04,₹1.15 lakh,mumbai
2012 Maruti Alto 800, LXI,"41,878 km",Petrol,Manual,MH-02,₹1.30 lakh,mumbai
2018 Hyundai Verna, 1.6 VTVT SX (O) AT,"83,385 km",Petrol,Auto,MH-02,₹5.38 lakh,mumbai
2017 Toyota Corolla Altis, GL PETROL,"67,529 km",Petrol,Manual,MH-01,₹4.91 lakh,mumbai
2017 Hyundai Elite i20, MAGNA EXECUTIVE 1.2,"29,173 km",Petrol,Manual,MH-02,₹3.27 lakh,mumbai
2013 Hyundai i10, MAGNA 1.2,"1,55,868 km",Petrol,Manual,MH-15,₹1.74 lakh,mumbai
2013 Maruti Wagon R 1.0, LXI CNG,"1,04,657 km",Petrol,Manual,MH-02,₹1.92 lakh,mumbai
2012 Maruti Wagon R 1.0, LXI CNG,"1,13,681 km",Petrol,Manual,MH-43,₹1.84 lakh,mumbai
2013 Maruti Alto 800, LXI,"50,693 km",Petrol,Manual,MH-46,₹1.59 lakh,mumbai
2012 Maruti Swift, VXI,"1,05,696 km",Petrol,Manual,MH-01,₹2.38 lakh,mumbai
2015 Maruti Ciaz, ZXI,"83,561 km",Petrol,Manual,MH-04,₹3.50 lakh,mumbai
2012 Maruti Swift Dzire, VXI,"76,952 km",Petrol,Manual,MH-02,₹2.20 lakh,mumbai
2014 Maruti Celerio, LXI,"35,885 km",Petrol,Manual,MH-01,₹1.79 lakh,mumbai
2015 Hyundai Verna, FLUIDIC 1.6 CRDI SX,"2,25,169 km",Diesel,Manual,MH-04,₹3.15 lakh,mumbai
2013 Maruti Wagon R 1.0, LXI CNG,"1,14,262 km",Petrol,Manual,MH-02,₹1.93 lakh,mumbai
2023 Mahindra XUV300, W8 (O) 1.2 PETROL AMT,"30,340 km",Petrol,Auto,MH-03,₹8.73 lakh,mumbai
2018 Datsun Redi Go, T(O) 1.0,"31,024 km",Petrol,Manual,MH-04,₹1.58 lakh,mumbai
2015 Hyundai i10, SPORTZ 1.1,"27,527 km",Petrol,Manual,MH-03,₹2.25 lakh,mumbai
2017 Maruti Wagon R 1.0, LXI CNG,"1,53,485 km",Petrol,Manual,MH-03,₹2.22 lakh,mumbai
2012 Maruti Swift, VXI,"60,825 km",Petrol,Manual,MH-01,₹2.56 lakh,mumbai
2017 Maruti Celerio, VXI,"18,208 km",Petrol,Manual,MH-47,₹2.59 lakh,mumbai
2023 Hyundai VENUE, SX 1.5 CRDI,"20,831 km",Diesel,Manual,MH-43,₹10.97 lakh,mumbai
2012 Hyundai i10, SPORTZ 1.2 AT,1 km,Petrol,Auto,MH-02,₹1.50 lakh,mumbai
2013 Honda Amaze, 1.5L I-DTEC S,"1,25,115 km",Diesel,Manual,MH-04,₹2.38 lakh,mumbai
2014 Chevrolet Beat, LS PETROL,"13,701 km",Petrol,Manual,MH-03,₹1.37 lakh,mumbai
2014 Maruti Celerio, VXI CNG,"1,23,521 km",Petrol,Manual,MH-03,₹2.34 lakh,mumbai
2022 Maruti Baleno, ZETA PETROL 1.2,"38,417 km",Petrol,Manual,MH-01,₹5.85 lakh,mumbai
2015 Maruti Wagon R 1.0, LXI CNG,"1,04,495 km",Petrol,Manual,MH-43,₹2.70 lakh,mumbai
2013 Hyundai Verna, FLUIDIC 1.6 VTVT SX,"60,494 km",Petrol,Manual,MH-01,₹2.25 lakh,mumbai
2013 Maruti Wagon R 1.0, VXI,"1,42,149 km",Petrol,Manual,MH-46,₹2.19 lakh,mumbai
2012 Hyundai i20, MAGNA 1.2,"94,324 km",Petrol,Manual,MH-05,₹1.76 lakh,mumbai
2024 KIA CARENS, Prestige Plus (O) 1.5 Turbo DCT 7 STR,"3,720 km",Petrol,Auto,MH-02,₹15.68 lakh,mumbai
2013 Maruti Swift, VXI,"74,119 km",Petrol,Manual,MH-01,₹2.00 lakh,mumbai
2019 Maruti Celerio X, VXI (O) AMT,"67,705 km",Petrol,Auto,MH-01,₹2.42 lakh,mumbai
2016 Renault Kwid, RXT 0.8 (O),"12,878 km",Petrol,Manual,KL-01,₹1.93 lakh,mumbai
2021 Skoda KUSHAQ, STYLE 1.0L TSI AT,"4,763 km",Petrol,Auto,MH-01,₹8.73 lakh,mumbai
2013 Maruti Swift Dzire, VXI,"56,674 km",Petrol,Manual,MH-02,₹2.68 lakh,mumbai
2013 Honda Brio, S MT,"69,544 km",Petrol,Manual,MH-03,₹1.45 lakh,mumbai
2012 Maruti Swift Dzire, VXI,"37,665 km",Petrol,Manual,MH-04,₹2.63 lakh,mumbai
2013 Maruti Swift, LXI,"36,046 km",Petrol,Manual,MH-04,₹2.31 lakh,mumbai
2013 Honda Brio, E MT,"87,069 km",Petrol,Manual,MH-48,₹1.48 lakh,mumbai
2018 Toyota YARIS, G CVT,"48,838 km",Petrol,Auto,MH-02,₹4.90 lakh,mumbai
2015 Mahindra XUV500, W10,"64,252 km",Diesel,Manual,MH-04,₹5.26 lakh,mumbai
2015 Volkswagen Vento, HIGHLINE 1.2 TSI,"44,839 km",Petrol,Manual,MH-02,₹2.47 lakh,mumbai
2014 Maruti Wagon R 1.0, LXI CNG,"60,467 km",Petrol,Manual,MH-02,₹2.21 lakh,mumbai
2011 Hyundai i10, SPORTZ 1.2 AT,"41,353 km",Petrol,Auto,MH-02,₹0.87 lakh,mumbai
2013 Maruti Wagon R 1.0, LXI,"93,063 km",Petrol,Manual,MH-03,₹1.42 lakh,mumbai
2015 Maruti Wagon R 1.0, LXI,"60,341 km",Petrol,Manual,MH-03,₹2.16 lakh,mumbai
2016 Maruti Wagon R 1.0, LXI CNG,"96,148 km",Petrol,Manual,MH-03,₹1.90 lakh,mumbai
2012 Hyundai Eon, ERA +,"26,974 km",Petrol,Manual,MH-02,₹1.00 lakh,mumbai
2014 Mahindra XUV500, W6,"70,767 km",Diesel,Manual,MH-06,₹3.00 lakh,mumbai
2021 Maruti Ertiga, VXI CNG,"79,720 km",Petrol,Manual,MH-04,₹9.04 lakh,mumbai
2012 Maruti Swift, VXI,"85,605 km",Petrol,Manual,MH-05,₹2.25 lakh,mumbai
2012 Hyundai i20, SPORTZ (O) 1.2,"69,711 km",Petrol,Manual,MH-48,₹1.00 lakh,mumbai
2015 Maruti Wagon R 1.0, VXI,"33,358 km",Petrol,Manual,MH-02,₹2.69 lakh,mumbai
2012 Volkswagen Polo, HIGHLINE DIESEL,"1,60,000 km",Diesel,Manual,MH-02,₹1.70 lakh,mumbai
2012 Maruti Swift, VXI,"74,097 km",Petrol,Manual,MH-01,₹2.25 lakh,mumbai
2013 Maruti Swift Dzire, VXI,"35,780 km",Petrol,Manual,MH-02,₹2.84 lakh,mumbai
2015 Maruti Wagon R 1.0, LXI CNG,"1,15,337 km",Petrol,Manual,MH-47,₹2.50 lakh,mumbai
2013 Maruti Alto 800, LX CNG,"1,08,369 km",Petrol,Manual,MH-05,₹1.00 lakh,mumbai
2012 Hyundai i10, MAGNA 1.2,"37,825 km",Petrol,Manual,MH-14,₹1.75 lakh,mumbai
2014 Hyundai i10, MAGNA 1.1,"63,753 km",Petrol,Manual,MH-48,₹1.80 lakh,mumbai
2015 Toyota Innova, 2.5 GX 7 STR,"1,99,689 km",Diesel,Manual,MH-48,₹5.30 lakh,mumbai
2013 Maruti Swift, VXI,"1,18,527 km",Petrol,Manual,MH-14,₹2.59 lakh,mumbai
2012 Toyota Innova, 2.5 VX 8 STR,"1,94,517 km",Diesel,Manual,MH-48,₹5.16 lakh,mumbai
2016 Renault Kwid, RXT 0.8,"86,050 km",Petrol,Manual,KA-53,₹2.35 lakh,bangalore
2015 Skoda Octavia, ELEGANCE 1.8 TSI AT,"67,760 km",Petrol,Auto,KA-20,₹6.21 lakh,bangalore
2016 Maruti Ciaz, VXI,"52,757 km",Petrol,Manual,KA-51,₹4.56 lakh,bangalore
2014 Honda Amaze, 1.2L I-VTEC S,"31,379 km",Petrol,Manual,KA-01,₹3.19 lakh,bangalore
2017 Maruti Wagon R 1.0, VXI AMT,"79,888 km",Petrol,Auto,KA-19,₹3.81 lakh,bangalore
2016 Tata Tiago, XT DIESEL,"69,684 km",Diesel,Manual,KA-03,₹3.75 lakh,bangalore
2015 Honda Jazz, 1.2L I-VTEC VX,"52,403 km",Petrol,Manual,KA-03,₹4.16 lakh,bangalore
2018 Renault Kwid, RXT 0.8,"40,966 km",Petrol,Manual,KA-51,₹3.45 lakh,bangalore
2021 Volkswagen Polo, COMFORTLINE 1.0L TSI AT,"32,759 km",Petrol,Auto,KA-05,₹8.12 lakh,bangalore
2018 Tata TIGOR, XZA PETROL,"43,225 km",Petrol,Auto,KA-34,₹4.89 lakh,bangalore
2017 Honda Amaze, 1.2L I-VTEC VX AT,"58,700 km",Petrol,Auto,KA-04,₹4.61 lakh,bangalore
2016 Maruti Alto 800, LXI,"50,117 km",Petrol,Manual,KA-07,₹2.54 lakh,bangalore
2018 Tata TIGOR, XZA PETROL,"83,165 km",Petrol,Auto,KA-03,₹4.08 lakh,bangalore
2021 Tata TIAGO NRG, XZ AMT,"34,041 km",Petrol,Auto,KA-51,₹5.19 lakh,bangalore
2018 Maruti Swift, VXI AMT,"67,158 km",Petrol,Auto,KA-50,₹4.86 lakh,bangalore
2012 Hyundai i20, MAGNA (O) 1.2,"71,643 km",Petrol,Manual,KA-05,₹2.98 lakh,bangalore
2018 Maruti Ciaz, ALPHA 1.4 PETROL,"75,843 km",Petrol,Manual,KA-34,₹5.80 lakh,bangalore
2019 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"78,213 km",Petrol,Manual,KA-50,₹4.55 lakh,bangalore
2014 Hyundai Elite i20, ASTA 1.2,"62,552 km",Petrol,Manual,KA-05,₹4.02 lakh,bangalore
2013 Hyundai Sonata, 2.4 GDI AT,"64,799 km",Petrol,Auto,KA-04,₹4.70 lakh,bangalore
2017 Ford New Figo, TITANIUM 1.2 PETROL MT,"77,672 km",Petrol,Manual,KA-02,₹3.80 lakh,bangalore
2012 Hyundai i20, ASTA 1.4 CRDI,"94,844 km",Diesel,Manual,KA-01,₹3.23 lakh,bangalore
2015 Hyundai Xcent, SX AT 1.2 (O),"80,603 km",Petrol,Auto,KA-03,₹3.68 lakh,bangalore
2018 Maruti Baleno, ZETA PETROL 1.2,"77,261 km",Petrol,Manual,KA-05,₹5.59 lakh,bangalore
2015 Hyundai Xcent, SX 1.2,"71,575 km",Petrol,Manual,KA-53,₹3.62 lakh,bangalore
2017 Tata TIGOR, XZ (O) PETROL,"91,995 km",Petrol,Manual,KA-05,₹3.60 lakh,bangalore
2020 Hyundai NEW SANTRO, SPORTZ MT,"46,872 km",Petrol,Manual,KA-02,₹3.39 lakh,bangalore
2013 Maruti Swift, VDI,"1,28,567 km",Diesel,Manual,KA-05,₹3.99 lakh,bangalore
2019 Tata NEXON, XZA PLUS PETROL DUAL TONE,"37,426 km",Petrol,Auto,KA-03,₹6.75 lakh,bangalore
2021 Skoda KUSHAQ, STYLE 1.0L TSI MT,"56,564 km",Petrol,Manual,KA-51,₹9.26 lakh,bangalore
2019 Maruti Baleno, DELTA PETROL 1.2,"56,774 km",Petrol,Manual,KA-02,₹5.54 lakh,bangalore
2013 Maruti Swift Dzire, ZDI,"1,21,170 km",Diesel,Manual,KA-04,₹3.15 lakh,bangalore
2013 Renault Duster, RXL PETROL,"1,12,488 km",Petrol,Manual,KA-51,₹3.07 lakh,bangalore
2017 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"59,459 km",Petrol,Manual,KA-19,₹4.00 lakh,bangalore
2021 Hyundai NEW I20, ASTA (O) 1.0 TURBO GDI DCT,"52,495 km",Petrol,Auto,KA-04,₹7.50 lakh,bangalore
2014 Hyundai Grand i10, MAGNA 1.2 KAPPA VTVT,"55,667 km",Petrol,Manual,KA-51,₹2.87 lakh,bangalore
2016 Hyundai Elite i20, SPORTZ 1.2,"46,386 km",Petrol,Manual,KA-53,₹4.86 lakh,bangalore
2015 Hyundai Xcent, SX AT 1.2 (O),"89,931 km",Petrol,Auto,KA-20,₹3.59 lakh,bangalore
2018 Maruti Dzire, ZXI PLUS,"17,406 km",Petrol,Manual,KA-05,₹5.67 lakh,bangalore
2018 Tata Tiago, XZA PETROL,"10,694 km",Petrol,Auto,KA-04,₹4.51 lakh,bangalore
2021 Tata TIGOR, XZ PETROL,"51,686 km",Petrol,Manual,KA-03,₹4.90 lakh,bangalore
2017 Maruti Swift, VDI,"56,556 km",Diesel,Manual,KA-04,₹5.25 lakh,bangalore
2017 Hyundai Creta, SX PLUS 1.6 PETROL,"93,076 km",Petrol,Manual,KA-53,₹7.41 lakh,bangalore
2018 Honda Amaze, 1.5L I-DTEC VX,"29,472 km",Diesel,Manual,KA-03,₹6.39 lakh,bangalore
2014 Skoda Rapid, AMBITION 1.6 TDI CR MT PLUS,"1,15,272 km",Diesel,Manual,KA-02,₹3.54 lakh,bangalore
2022 KIA SONET, HTX ANNIVERSARY EDITION 1.5 AT,"82,623 km",Diesel,Auto,KA-59,₹9.40 lakh,bangalore
2019 Hyundai GRAND I10 NIOS, SPORTZ AMT 1.2 KAPPA VTVT,"55,343 km",Petrol,Auto,KA-19,₹4.44 lakh,bangalore
2016 Maruti Celerio, ZXI AMT (O),"49,097 km",Petrol,Auto,KA-05,₹3.55 lakh,bangalore
2013 Renault Scala, RXL DIESEL,"74,643 km",Diesel,Manual,KA-05,₹2.94 lakh,bangalore
2018 Tata NEXON, XM DIESEL,"93,528 km",Diesel,Manual,KA-53,₹5.26 lakh,bangalore
2015 Hyundai Eon, 1.0 MAGNA +,"82,902 km",Petrol,Manual,KA-03,₹1.93 lakh,bangalore
2017 Hyundai Elite i20, ASTA 1.2 DUAL TONE,"90,554 km",Petrol,Manual,KA-20,₹4.97 lakh,bangalore
2016 Honda Jazz, 1.2L I-VTEC VX,"61,368 km",Petrol,Manual,KA-53,₹4.26 lakh,bangalore
2020 Maruti Baleno, DELTA PETROL 1.2,"33,370 km",Petrol,Manual,KA-41,₹5.82 lakh,bangalore
2016 Honda Jazz, 1.2L I-VTEC S,"76,154 km",Petrol,Manual,KA-04,₹3.44 lakh,bangalore
2018 Maruti Swift, VXI AMT,"61,367 km",Petrol,Auto,KA-05,₹4.70 lakh,bangalore
2017 Hyundai Grand i10, MAGNA 1.2 KAPPA VTVT,"86,420 km",Petrol,Manual,KA-50,₹3.49 lakh,bangalore
2021 Maruti Swift, VXI,"54,128 km",Petrol,Manual,KA-04,₹5.67 lakh,bangalore
2015 Maruti Celerio, ZXI AMT,"90,405 km",Petrol,Auto,KA-05,₹2.58 lakh,bangalore
2019 Maruti Baleno, ALPHA CVT PETROL 1.2,"40,882 km",Petrol,Auto,KA-51,₹5.83 lakh,bangalore
2018 Honda Brio, S(O) MT,"62,024 km",Petrol,Manual,KA-22,₹3.83 lakh,bangalore
2017 Ford Ecosport, TREND 1.5L DIESEL,"81,698 km",Diesel,Manual,KA-01,₹3.93 lakh,bangalore
2016 Tata Tiago, XZ PETROL,"82,759 km",Petrol,Manual,KA-51,₹3.24 lakh,bangalore
2012 Maruti Wagon R 1.0, VXI,"85,434 km",Petrol,Manual,KA-51,₹1.60 lakh,bangalore
2014 Hyundai Xcent, S 1.2,"54,105 km",Petrol,Manual,KA-01,₹3.20 lakh,bangalore
2019 Hyundai Verna, 1.6 VTVT SX,"84,490 km",Petrol,Manual,KA-05,₹6.99 lakh,bangalore
2022 Mahindra XUV300, W8 (O) 1.2 PETROL,"10,013 km",Petrol,Manual,KA-05,₹8.60 lakh,bangalore
2017 Honda WR-V, 1.2L I-VTEC S MT,"55,521 km",Petrol,Manual,KA-05,₹4.90 lakh,bangalore
2020 MG HECTOR, SUPER 2.0 DIESEL,"77,300 km",Diesel,Manual,KA-53,₹8.86 lakh,bangalore
2019 Maruti Swift, VXI,"1,06,176 km",Petrol,Manual,KA-53,₹3.95 lakh,bangalore
2022 MG ASTOR, SAVVY 1.3 TURBO AT S RED,"17,450 km",Petrol,Auto,KA-53,₹11.85 lakh,bangalore
2022 Tata Tiago, XZ PLUS PETROL,"39,779 km",Petrol,Manual,KA-50,₹5.49 lakh,bangalore
2020 Hyundai Elite i20, MAGNA PLUS 1.2,"31,757 km",Petrol,Manual,KA-04,₹4.48 lakh,bangalore
2024 Maruti Baleno, ZETA PETROL 1.2,"10,455 km",Petrol,Manual,KA-03,₹7.84 lakh,bangalore
2021 Maruti Ertiga, VXI AT SHVS,"52,323 km",Petrol,Auto,KA-03,₹8.37 lakh,bangalore
2021 Tata Tiago, XT (O) PETROL,"42,189 km",Petrol,Manual,KA-16,₹3.93 lakh,bangalore
2019 Hyundai NEW SANTRO, ERA EXECUTIVE,"36,924 km",Petrol,Manual,KA-01,₹2.90 lakh,bangalore
2021 Tata NEXON, XZA PLUS SUNROOF PETROL,"41,837 km",Petrol,Auto,KA-53,₹7.40 lakh,bangalore
2019 Nissan Kicks, XV DIESEL,"48,512 km",Diesel,Manual,KA-03,₹5.86 lakh,bangalore
2020 KIA SELTOS, GTX PLUS DCT 1.4 PETROL,"71,012 km",Petrol,Auto,KA-05,₹10.45 lakh,bangalore
2013 Honda Brio, V MT,"1,19,328 km",Petrol,Manual,KA-02,₹1.94 lakh,bangalore
2017 Honda City, 1.5L I-VTEC VX CVT,"57,720 km",Petrol,Auto,KA-18,₹6.73 lakh,bangalore
2017 Mahindra XUV500, W6 1.99,"63,774 km",Diesel,Manual,KA-01,₹8.50 lakh,bangalore
2022 Toyota Glanza, S,"62,831 km",Petrol,Manual,KA-03,₹5.19 lakh,bangalore
2022 Hyundai GRAND I10 NIOS, SPORTZ AMT 1.2 KAPPA VTVT,"14,118 km",Petrol,Auto,KA-51,₹6.05 lakh,bangalore
2023 Hyundai GRAND I10 NIOS, SPORTZ 1.2 KAPPA VTVT DUAL TONE,"16,697 km",Petrol,Manual,KA-04,₹6.67 lakh,bangalore
2016 Hyundai Creta, SX PLUS AT 1.6 PETROL,"87,878 km",Petrol,Auto,KA-05,₹7.27 lakh,bangalore
2018 Maruti Alto 800, LXI,"32,383 km",Petrol,Manual,KA-41,₹2.12 lakh,bangalore
2017 Hyundai Grand i10, SPORTZ (O) AT 1.2 KAPPA VTVT,"77,325 km",Petrol,Auto,KA-51,₹4.44 lakh,bangalore
2020 KIA SONET, GTX PLUS 1.0 IMT,"41,767 km",Petrol,Manual,KA-51,₹7.73 lakh,bangalore
2023 Renault Kiger, RXZ TURBO MT,"26,724 km",Petrol,Manual,KA-51,₹7.31 lakh,bangalore
2016 Honda Jazz, 1.2L I-VTEC V,"83,306 km",Petrol,Manual,KA-01,₹3.79 lakh,bangalore
2016 Hyundai Grand i10, MAGNA AT 1.2 KAPPA VTVT,"58,000 km",Petrol,Auto,KA-51,₹3.05 lakh,bangalore
2017 Maruti Baleno, DELTA PETROL 1.2,"72,598 km",Petrol,Manual,KA-19,₹3.88 lakh,bangalore
2024 Tata NEXON, PURE 1.2 PETROL,"39,150 km",Petrol,Manual,KA-03,₹7.55 lakh,bangalore
2015 Hyundai Grand i10, ASTA (O) 1.2 KAPPA VTVT,"92,198 km",Petrol,Manual,KA-15,₹2.95 lakh,bangalore
2022 Skoda SLAVIA, STYLE 1.0L TSI MT,"69,812 km",Petrol,Manual,KA-51,₹8.45 lakh,bangalore
2019 Maruti Swift, VXI,"83,411 km",Petrol,Manual,KA-51,₹4.54 lakh,bangalore
2021 Tata TIGOR, XZ PLUS PETROL,"43,573 km",Petrol,Manual,KA-02,₹4.67 lakh,bangalore
2018 Jeep Compass, LONGITUDE (O) 2.0 DIESEL,"1,45,715 km",Diesel,Manual,KA-03,₹7.85 lakh,bangalore
2016 Renault Kwid, RXL,"1,11,165 km",Petrol,Manual,KA-12,₹1.59 lakh,bangalore
2016 Hyundai Verna, 1.4 VTVT,"1,16,477 km",Petrol,Manual,KA-32,₹3.71 lakh,bangalore
2013 Volkswagen Polo, HIGHLINE DIESEL,"1,48,493 km",Diesel,Manual,KA-21,₹2.73 lakh,bangalore
2018 Tata Tiago, XZA PETROL,"1,38,852 km",Petrol,Auto,KA-05,₹2.94 lakh,bangalore
2018 Ford FREESTYLE, TITANIUM 1.2 PETROL,"68,864 km",Petrol,Manual,KA-05,₹4.28 lakh,bangalore
2021 Renault Kiger, RXL AMT,"36,867 km",Petrol,Auto,KA-41,₹5.08 lakh,bangalore
2021 Tata ALTROZ, XZ DIESEL,"79,407 km",Diesel,Manual,KA-59,₹6.40 lakh,bangalore
2020 Hyundai AURA, S 1.2,"37,271 km",Petrol,Manual,KA-53,₹4.70 lakh,bangalore
2021 Ford Ecosport, TITANUIM + SE 1.5L PETROL,"24,455 km",Petrol,Manual,KA-03,₹7.93 lakh,bangalore
2014 Nissan Micra, XV CVT,"1,02,607 km",Petrol,Auto,KA-51,₹2.67 lakh,bangalore
2015 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"82,415 km",Petrol,Manual,KA-05,₹2.73 lakh,bangalore
2021 Hyundai VENUE, SX 1.0 (O) TURBO IMT,"30,184 km",Petrol,Manual,KA-04,₹8.10 lakh,bangalore
2018 Hyundai Grand i10, SPORTZ AT 1.2 KAPPA VTVT,"61,118 km",Petrol,Auto,KA-03,₹4.85 lakh,bangalore
2019 Volkswagen Polo, COMFORTLINE 1.0L MPI,"28,235 km",Petrol,Manual,KA-04,₹5.50 lakh,bangalore
2013 Chevrolet Beat, PS PETROL,"53,420 km",Petrol,Manual,KA-53,₹1.45 lakh,bangalore
2023 Toyota URBAN CRUISER HYRYDER, V HYBRID,"33,241 km",Hybrid,Auto,KA-04,₹14.81 lakh,bangalore
2016 Datsun Redi Go, S,"70,807 km",Petrol,Manual,KA-19,₹1.87 lakh,bangalore
2017 Maruti S Cross, ALPHA 1.3,"87,011 km",Diesel,Manual,KA-52,₹6.15 lakh,bangalore
2022 Maruti S PRESSO, VXI+,"40,904 km",Petrol,Manual,KA-41,₹3.37 lakh,bangalore
2016 Ford Figo Aspire, TITANIUM 1.2 PETROL,"80,896 km",Petrol,Manual,KA-19,₹2.73 lakh,bangalore
2022 Toyota Glanza, V,"88,072 km",Petrol,Manual,KA-50,₹5.64 lakh,bangalore
2017 Hyundai Elite i20, MAGNA 1.4 AT,"33,805 km",Petrol,Auto,KA-05,₹4.38 lakh,bangalore
2017 Maruti Vitara Brezza, ZDI PLUS,"74,011 km",Diesel,Manual,KA-05,₹6.80 lakh,bangalore
2019 Renault Kwid, RXL,"44,072 km",Petrol,Manual,KA-53,₹2.61 lakh,bangalore
